0,w,174,90,217,80,218,126,174,135
1,e,115,171,143,167,143,215,115,219
1,t,143,159,161,155,161,212,143,215
1,h,161,155,192,150,193,207,161,211
1,e,192,158,224,152,225,203,193,208
1,i,223,141,239,139,241,200,225,202
1,r,239,149,263,145,265,196,241,200
1,w,263,146,314,137,317,189,265,196
1,e,314,136,351,129,355,185,317,190
1,r,351,129,380,124,384,180,355,184
1,e,380,124,420,117,426,175,384,181
1,g,420,117,464,109,472,176,427,182
1,r,464,109,497,104,504,162,471,167
1,o,497,104,545,95,554,156,504,163
2,u,59,259,86,256,85,304,57,306
2,n,86,255,114,252,113,301,85,303
2,d,114,244,144,240,143,299,113,302
