0,a,310,119,372,101,382,147,317,164
1,p,229,246,288,234,297,309,233,319
1,a,288,234,354,220,364,277,295,288
1,n,354,220,426,205,440,263,364,276
1,s,426,205,490,191,510,252,441,264
1,r,490,192,539,182,562,242,509,251
2,o,61,409,108,404,106,465,56,467
2,a,108,404,162,399,163,463,106,465
2,d,162,376,221,370,226,461,163,463
2,i,221,370,247,367,254,458,226,459
2,r,249,393,287,389,294,457,254,458
2,r,287,389,328,385,338,455,294,457
2,i,324,358,354,355,371,454,338,455
2,g,359,382,442,374,468,484,376,485
2,a,442,374,536,366,562,449,460,452
