0,r,365,78,391,78,384,109,358,108
0,e,391,78,434,78,428,111,384,110
0,s,434,78,473,78,467,112,428,111
0,s,473,78,514,78,509,112,467,112
0,a,514,78,565,77,561,114,509,112
1,n,288,130,325,132,317,163,279,160
1,d,328,120,371,122,360,167,317,164
1,a,368,134,409,136,402,171,360,167
1,s,409,136,448,138,441,174,402,171
1,t,450,127,480,128,472,176,441,174
1,h,480,125,533,127,527,179,472,175
2,e,215,179,248,183,239,215,205,210
2,r,248,183,271,185,262,217,239,214
2,e,271,185,309,189,300,223,261,218
2,i,312,176,328,178,317,225,300,223
2,s,325,191,360,194,352,231,317,226
2,n,360,194,406,199,398,236,352,230
2,o,406,199,455,204,449,244,398,237
2,t,457,192,489,195,482,249,449,244
2,h,490,192,547,198,541,256,482,248
2,i,547,198,572,200,567,260,541,256
3,n,197,234,231,240,221,274,187,267
3,g,231,240,270,247,256,298,216,289
3,e,270,247,310,253,300,291,260,283
3,l,313,239,335,243,323,296,300,291
3,s,332,257,369,263,361,304,323,296
3,e,369,263,418,272,411,314,361,304
3,b,421,256,477,265,468,326,411,314
3,u,475,281,536,291,530,339,468,326
4,t,124,284,143,289,127,334,109,328
4,s,139,299,165,306,154,342,127,334
4,u,165,306,200,315,189,353,154,342
4,d,205,301,244,311,229,365,189,353
4,d,244,311,287,321,273,378,229,365
4,e,283,336,328,348,318,392,273,378
4,n,328,348,376,360,368,406,318,391
