0,f,376,94,408,94,409,141,375,140
0,f,408,94,441,94,444,141,409,141
0,e,442,109,478,110,481,144,444,143
0,r,478,110,511,110,515,143,481,142
0,i,509,97,533,98,540,144,515,143
1,n,135,179,180,181,173,216,126,214
1,g,180,181,219,182,210,237,169,235
1,a,219,182,256,183,251,221,213,219
1,m,256,183,327,186,325,222,252,219
1,o,327,186,368,187,367,226,325,224
1,s,368,187,402,188,402,227,367,226
1,t,402,179,432,180,434,229,402,227
1,r,432,189,467,191,469,228,433,227
1,e,467,191,506,192,511,232,469,230
1,s,506,192,542,193,548,233,511,232
2,p,109,286,154,288,140,353,93,350
2,e,154,288,192,291,184,336,144,333
2,c,192,291,230,293,223,339,184,336
2,t,231,282,262,283,256,341,223,339
2,a,261,294,303,297,300,344,256,341
2,b,305,276,352,279,350,347,300,344
2,l,352,279,378,280,377,347,350,345
2,e,377,301,420,304,421,352,377,349
2,n,420,304,477,307,480,354,421,350
2,n,477,307,535,310,541,358,480,354
3,g,76,415,122,419,105,502,56,496
3,l,127,394,153,397,138,475,111,473
3,a,149,421,194,425,185,483,138,478
3,n,194,425,252,430,246,486,185,480
3,d,255,405,307,409,302,494,245,489
