0,o,109,115,170,108,181,163,120,171
0,n,170,108,240,100,251,153,181,163
1,g,132,233,196,222,213,308,149,320
1,l,186,185,226,180,245,271,205,278
1,o,236,216,292,207,303,260,247,270
1,m,292,207,382,192,393,243,303,260
1,e,382,192,428,184,439,235,393,243
1,r,428,184,469,178,480,225,438,233
1,a,469,178,521,169,532,218,480,227
1,t,518,153,555,148,569,211,532,218
2,e,162,383,217,371,228,427,173,441
2,s,217,371,271,359,283,414,228,427
2,a,271,359,333,345,344,399,283,414
2,r,333,345,379,335,390,386,344,397
2,e,379,335,426,325,437,377,390,388
2,w,426,325,499,309,510,359,437,377
2,e,499,309,541,299,552,349,510,359
3,r,186,504,238,491,249,546,197,561
3,e,238,491,291,476,303,533,249,548
3,e,291,476,342,463,354,518,303,533
3,a,342,463,402,447,413,501,354,518
3,r,402,447,446,435,457,486,413,499
3,l,436,400,470,392,489,479,455,488
3,y,477,427,529,413,546,492,495,507
