0,o,459,91,507,97,503,141,455,135
0,s,507,97,546,102,543,146,503,141
0,t,547,88,580,92,576,150,543,146
1,m,121,132,193,141,185,185,112,176
1,a,193,141,237,147,230,192,185,186
1,i,240,130,262,132,252,193,230,191
1,n,259,149,308,156,302,200,252,193
1,s,308,156,347,160,341,206,302,201
1,t,349,146,382,150,375,210,341,206
1,r,381,165,413,169,408,213,375,209
1,e,413,169,458,174,454,220,408,214
1,a,458,174,504,180,500,226,454,220
1,m,504,180,578,189,575,235,500,225
2,a,105,216,150,221,141,268,96,262
2,n,150,221,200,228,192,274,142,267
2,d,203,207,253,214,243,281,192,275
2,t,252,219,286,224,277,286,243,281
2,e,284,239,329,245,323,292,277,286
2,a,329,245,375,251,370,298,323,292
2,r,375,251,408,255,403,301,370,297
2,i,411,237,433,240,426,304,403,301
2,n,431,258,482,264,478,311,426,304
2,g,482,264,534,271,528,338,476,331
3,m,85,322,160,332,152,380,75,370
3,e,160,332,207,338,199,388,152,381
3,a,207,338,253,344,246,394,199,388
3,t,256,328,290,333,281,399,246,394
3,h,291,327,343,334,334,405,281,398
3,e,340,356,387,362,382,412,334,406
3,n,387,362,440,369,435,419,382,411
